ERR243065.34437 HS9_09378:1:1102:21310:83103#36/1
ERR243065.34438 HS9_09378:1:1102:21311:97416#36/1
ERR243065.34439 HS9_09378:1:1102:21312:29715#36/1
ERR243065.34440 HS9_09378:1:1102:21316:55148#36/1
ERR243065.34441 HS9_09378:1:1102:21316:57145#36/1
ERR243065.34442 HS9_09378:1:1102:21316:90210#36/1
ERR243065.34443 HS9_09378:1:1102:21317:85038#36/1
ERR243065.34444 HS9_09378:1:1102:21319:18829#36/1
ERR243065.34445 HS9_09378:1:1102:21320:94562#36/1
ERR243065.34447 HS9_09378:1:1102:21323:89553#36/1
ERR243065.34448 HS9_09378:1:1102:21328:21637#36/1
ERR243065.34449 HS9_09378:1:1102:21330:7510#36/1
ERR243065.34450 HS9_09378:1:1102:21330:53796#36/1
ERR243065.34451 HS9_09378:1:1102:21330:55315#36/1
ERR243065.34452 HS9_09378:1:1102:21331:76861#36/1
ERR243065.34453 HS9_09378:1:1102:21333:77258#36/1
ERR243065.34454 HS9_09378:1:1102:21334:60311#36/1
ERR243065.34455 HS9_09378:1:1102:21335:78314#36/1
ERR243065.34456 HS9_09378:1:1102:21336:83907#36/1
ERR243065.34457 HS9_09378:1:1102:21339:11789#36/1
ERR243065.34458 HS9_09378:1:1102:21343:41399#36/1
ERR243065.34459 HS9_09378:1:1102:21343:98664#36/1
ERR243065.34460 HS9_09378:1:1102:21345:28482#36/1
ERR243065.34461 HS9_09378:1:1102:21346:7717#36/1
ERR243065.34462 HS9_09378:1:1102:21346:90216#36/1
ERR243065.34463 HS9_09378:1:1102:21348:53052#36/1
ERR243065.34464 HS9_09378:1:1102:21348:86041#36/1
ERR243065.34465 HS9_09378:1:1102:21349:76044#36/1
ERR243065.34466 HS9_09378:1:1102:21350:21420#36/1
ERR243065.34467 HS9_09378:1:1102:21350:67834#36/1
ERR243065.34468 HS9_09378:1:1102:21350:85931#36/1
ERR243065.34469 HS9_09378:1:1102:21351:84549#36/1
ERR243065.34470 HS9_09378:1:1102:21352:89866#36/1
