SRR396143.2994659 D050VACXX110915:3:2308:4136:195083/3
SRR396143.2994660 D050VACXX110915:3:2308:7257:195084/3
SRR396143.2994661 D050VACXX110915:3:2308:8572:195085/3
SRR396143.2994662 D050VACXX110915:3:2308:12373:195098/3
SRR396143.2994663 D050VACXX110915:3:2308:14234:195098/3
SRR396143.2994664 D050VACXX110915:3:2308:5620:195100/3
SRR396143.2994665 D050VACXX110915:3:2308:10786:195100/3
SRR396143.2994666 D050VACXX110915:3:2308:13446:195100/3
SRR396143.2994667 D050VACXX110915:3:2308:11555:195102/3
SRR396143.2994668 D050VACXX110915:3:2308:20373:195103/3
SRR396143.2994669 D050VACXX110915:3:2308:3490:195105/3
SRR396143.2994670 D050VACXX110915:3:2308:4234:195106/3
SRR396143.2994671 D050VACXX110915:3:2308:1816:195107/3
SRR396143.2994672 D050VACXX110915:3:2308:6692:195107/3
SRR396143.2994673 D050VACXX110915:3:2308:1607:195109/3
SRR396143.2994674 D050VACXX110915:3:2308:13833:195109/3
SRR396143.2994675 D050VACXX110915:3:2308:20781:195109/3
SRR396143.2994676 D050VACXX110915:3:2308:1734:195110/3
SRR396143.2994677 D050VACXX110915:3:2308:21128:195113/3
SRR396143.2994678 D050VACXX110915:3:2308:7124:195117/3
SRR396143.2994679 D050VACXX110915:3:2308:17775:195121/3
SRR396143.2994680 D050VACXX110915:3:2308:14787:195125/3
SRR396143.2994681 D050VACXX110915:3:2308:19768:195126/3
SRR396143.2994682 D050VACXX110915:3:2308:8996:195129/3
SRR396143.2994683 D050VACXX110915:3:2308:3478:195131/3
SRR396143.2994684 D050VACXX110915:3:2308:14330:195138/3
SRR396143.2994685 D050VACXX110915:3:2308:17820:195145/3
SRR396143.2994686 D050VACXX110915:3:2308:11592:195147/3
SRR396143.2994687 D050VACXX110915:3:2308:20962:195147/3
SRR396143.2994688 D050VACXX110915:3:2308:8375:195150/3
SRR396143.2994689 D050VACXX110915:3:2308:11214:195153/3
SRR396143.2994690 D050VACXX110915:3:2308:11807:195153/3
SRR396143.2994691 D050VACXX110915:3:2308:13243:195153/3
SRR396143.2994692 D050VACXX110915:3:2308:3961:195157/3
SRR396143.2994693 D050VACXX110915:3:2308:20436:195163/3
SRR396143.2994694 D050VACXX110915:3:2308:3048:195164/3
SRR396143.2994695 D050VACXX110915:3:2308:5080:195164/3
SRR396143.2994696 D050VACXX110915:3:2308:7994:195167/3
SRR396143.2994697 D050VACXX110915:3:2308:17355:195168/3
SRR396143.2994698 D050VACXX110915:3:2308:5264:195174/3
SRR396143.2994699 D050VACXX110915:3:2308:10007:195176/3
SRR396143.2994700 D050VACXX110915:3:2308:11711:195180/3
SRR396143.2994701 D050VACXX110915:3:2308:13422:195188/3
SRR396143.2994702 D050VACXX110915:3:2308:15031:195189/3
SRR396143.2994703 D050VACXX110915:3:2308:19939:195189/3
